300
0.05

!qRg, LAA, LAB, LBB

0.050000 0.458037 0.041338 0.458037
0.100000 0.457150 0.040358 0.457150
0.150000 0.455677 0.038739 0.455677
0.200000 0.453623 0.036505 0.453623
0.250000 0.450999 0.033686 0.450999
0.300000 0.447816 0.030322 0.447816
0.350000 0.444089 0.026459 0.444089
0.400000 0.439835 0.022149 0.439835
0.450000 0.435072 0.017448 0.435072
0.500000 0.429822 0.012417 0.429822
0.550000 0.424108 0.007120 0.424108
0.600000 0.417954 0.001621 0.417954
0.650000 0.411386 -0.004013 0.411386
0.700000 0.404432 -0.009720 0.404432
0.750000 0.397122 -0.015435 0.397122
0.800000 0.389483 -0.021099 0.389483
0.850000 0.381547 -0.026656 0.381547
0.900000 0.373344 -0.032054 0.373344
0.950000 0.364905 -0.037247 0.364905
1.000000 0.356262 -0.042191 0.356262
1.050000 0.347445 -0.046853 0.347445
1.100000 0.338485 -0.051201 0.338485
1.150000 0.329412 -0.055212 0.329412
1.200000 0.320256 -0.058868 0.320256
1.250000 0.311045 -0.062156 0.311045
1.300000 0.301808 -0.065068 0.301808
1.350000 0.292571 -0.067604 0.292571
1.400000 0.283358 -0.069765 0.283358
1.450000 0.274195 -0.071558 0.274195
1.500000 0.265103 -0.072993 0.265103
1.550000 0.256103 -0.074084 0.256103
1.600000 0.247217 -0.074848 0.247217
1.650000 0.238460 -0.075301 0.238460
1.700000 0.229849 -0.075464 0.229849
1.750000 0.221400 -0.075359 0.221400
1.800000 0.213124 -0.075006 0.213124
1.850000 0.205034 -0.074429 0.205034
1.900000 0.197139 -0.073648 0.197139
1.950000 0.189448 -0.072687 0.189448
2.000000 0.181967 -0.071566 0.181967
2.050000 0.174701 -0.070307 0.174701
2.100000 0.167656 -0.068928 0.167656
2.150000 0.160833 -0.067449 0.160833
2.200000 0.154235 -0.065887 0.154235
2.250000 0.147861 -0.064258 0.147861
2.300000 0.141712 -0.062577 0.141712
2.350000 0.135786 -0.060858 0.135786
2.400000 0.130081 -0.059114 0.130081
2.450000 0.124594 -0.057355 0.124594
2.500000 0.119321 -0.055591 0.119321
2.550000 0.114259 -0.053832 0.114259
2.600000 0.109402 -0.052085 0.109402
2.650000 0.104746 -0.050356 0.104746
2.700000 0.100286 -0.048652 0.100286
2.750000 0.096015 -0.046978 0.096015
2.800000 0.091928 -0.045337 0.091928
2.850000 0.088019 -0.043733 0.088019
2.900000 0.084281 -0.042169 0.084281
2.950000 0.080709 -0.040646 0.080709
3.000000 0.077297 -0.039167 0.077297
3.050000 0.074038 -0.037732 0.074038
3.100000 0.070927 -0.036342 0.070927
3.150000 0.067957 -0.034997 0.067957
3.200000 0.065122 -0.033698 0.065122
3.250000 0.062416 -0.032444 0.062416
3.300000 0.059835 -0.031235 0.059835
3.350000 0.057372 -0.030070 0.057372
3.400000 0.055022 -0.028949 0.055022
3.450000 0.052780 -0.027870 0.052780
3.500000 0.050641 -0.026832 0.050641
3.550000 0.048600 -0.025835 0.048600
3.600000 0.046653 -0.024876 0.046653
3.650000 0.044794 -0.023956 0.044794
3.700000 0.043021 -0.023072 0.043021
3.750000 0.041328 -0.022224 0.041328
3.800000 0.039713 -0.021410 0.039713
3.850000 0.038170 -0.020629 0.038170
3.900000 0.036697 -0.019879 0.036697
3.950000 0.035290 -0.019160 0.035290
4.000000 0.033946 -0.018470 0.033946
4.050000 0.032662 -0.017809 0.032662
4.100000 0.031435 -0.017174 0.031435
4.150000 0.030262 -0.016565 0.030262
4.200000 0.029141 -0.015981 0.029141
4.250000 0.028069 -0.015420 0.028069
4.300000 0.027043 -0.014882 0.027043
4.350000 0.026062 -0.014366 0.026062
4.400000 0.025123 -0.013871 0.025123
4.450000 0.024224 -0.013395 0.024224
4.500000 0.023363 -0.012939 0.023363
4.550000 0.022539 -0.012501 0.022539
4.600000 0.021749 -0.012080 0.021749
4.650000 0.020992 -0.011676 0.020992
4.700000 0.020267 -0.011288 0.020267
4.750000 0.019572 -0.010915 0.019572
4.800000 0.018905 -0.010556 0.018905
4.850000 0.018266 -0.010212 0.018266
4.900000 0.017653 -0.009881 0.017653
4.950000 0.017064 -0.009562 0.017064
5.000000 0.016499 -0.009256 0.016499
5.050000 0.015956 -0.008961 0.015956
5.100000 0.015435 -0.008678 0.015435
5.150000 0.014934 -0.008405 0.014934
5.200000 0.014453 -0.008143 0.014453
5.250000 0.013990 -0.007890 0.013990
5.300000 0.013546 -0.007647 0.013546
5.350000 0.013118 -0.007412 0.013118
